ID;Active;Finalist;Name;Members;Founded;Description;Logo;Photo;Website;Email;Facebook;Instagram
3k;;;3K;Zeming Leng;;A series of new-generation furniture, which focuses on fitness monitoring.One of series we first product is the intellectual toilet, which has a talent of stool test. ;;;;;;
accesmedecins;1;;Acces Medecins;Fatimata Toure, Amir Akbari;2017;Acces Medecins is a website and application on which people who lives in medical deserts can have access to medical care via teleconsulations. It’s like a medical skype. The patient just have to connect himself on the app to contact their doctor or other health professionals. They will be able to see their medical datas and to share them with their doctor. Teleconsultation can for example save emergency services time and ressources by taking care of people who doesn’t have urgency case.This platform can also improve the patients quality of life with health and dietary advices. We can also imagine mental health support and consultations.My app will be available on app store and google play.This application concern all the european countries.  I want also use connected object to improve the results of the diagnostic.;accessmed.png;accesmed_team.jpg;;contactaccesmedecins@gmail.com;;accesmedecins
allopi;1;;alloPI;Daniel David, Christian Fleiner, Arjun Rai Gupta, Marvin Okoh, Brian Sailer;;Home automation reduces the resident’s workload of domestic work and improves life quality. However, the installation,  the maintenance and even the application of Smart Home devices are complex operations that require technical knowledge. However, especially people without technical knowledge or with physical impairments would benefit the most by automating their environment. Therefore, we integrate an adaptive and intuitive human-machine interface system into the Smart Home that exceeds the capabilities of common mobile apps. The system adapts to preferences and existing handicaps of the user by using user profiles. We provide counseling, installation and remote maintenance for Smart Homes. No maintenance, no limits – just act your way!;allopi.png;;;;;
arkit;1;;AR.K.I.T;Walid Elleuch, Kutay Yüksel;Oct 2018;AR-App for Museum;;;;;;
bavest;1;1;Bavest;Ramtin Babaei, Pedram Babaei;Spring 2018;Bavest ist ein Fintech, also ein Unternehmen das technologische Finanzinnovationen anbietet, die auf neusten Technologien basieren. Bavest sammelt Daten mit Hilfe von Data Crawlern und APIs. Die Daten werden mit künstlicher Intelligenz (Machine Learning im Fall von Horizon) analysiert. Maschinelles Lernen ist ein Oberbegriff für die „künstliche“ Generierung von Wissen aus Erfahrung. Durch die intelligenten Algorithmen und deren Analyse kann Horizon, unsere erste Innovation, Fundamentaldaten analysieren und intelligente Investmentstrategien darlegen. Später möchten wir bei Bavest weitere intelligente Produkte anbieten, die das Investieren vereinfachen. Dabei wollen wir Produkte schaffen, die es ermöglichen, Anlegern einen guten Einblick zu geben, unabhängig von Banken (Bank Beratern) oder anderen Institutionen. Dabei sollen unsere Kunden auf möglichst neueste Technologien Zugriff haben, wie z.B Machine Learning etc.;bavest.png;bavest_team.png;https://www.bavest.org/;support@bavest.org;BavestDE;bavest.de
can;1;;can;Kai Can Bilbixun Avci;Oct 2018;can - the health mediation, a mediation between customers and companies.;;;;;;
circle;1;1;Circle;Alexandre Lehr, Finn von Lauppert, Lukas Wipf, Kai Firschau;Oct 2018;The vision behind Circle is to build a bridge between the digital and the real world. Nowadays it's very simple to communicate over the Internet and therefore technology has become a huge part of our lives.But did it ever struck your mind that all these digital relations we have built over time impact our social life on a huge scale?Loneliness caused by communication is what many of us experience daily. When did our smartphone replace the contact with a real human being, face to face?Circle wants to change that.Our goal is to build an App capable of connecting people to others around them that share the same spontaneous interests.Circle is an assistant to let you rediscover reality.;circle.png;circle_team.jpg;;team@circleco.de;Circle-350104552390103;circlemediaco
designthinking;;;;Julian Seidel, Christian Zimmermann;;Main question: How do companies develop strategies and how do they implement them into their organization?;;;;;;
digetech;1;;DIGETECH;Frederik Grösche, Tobias Buchwald;Jul 18;We aim to use virtual reality in health care. For this, we currently focus on two segments: 1) Nursing schools asked us if we could create a VR tool for them to teach the nursing students more uncommon cases and make those situations repeatable. 2) In general, our intention is to create VR solutions to optimize physiotherapy and to motivate patients to train more regularly in order to improve their healing process.;;;;;;
ebara;1;;EBARA;Yanis Fallah, Marco Ezzy;;Digitalisierung von Kleinunternehmen ;;;;;;
eshr;;;Eshr;Chris Hiatt, Eugen Götz, Matthias Schedel, Marin Vlastelica P.;;Wir schlagen ein Framework für ein dezentrales, kontinuierlich lernendes AIaaS-System vor. Um den Beitrag von technischem und wissenschaftlichen Know-How sowie der nötigen Rechenkraft anzuregen entwerfen wir einen auf kryptographischen Methoden basierenden Sozialvertag, der Beiträge zu dem Projekt mit veräußerlichen Rechten zur Nutzung des Systems kompensiert.;;;;;;
falafelfuego;1;;Falafel Fuego ;Abdallatif Ali, Ihab Awad;Sep 18;New food start up ... creative food with original taste;;;;;;
